flavorId,flavorSortOrder,flavorName,flavorBackgroundColor,flavorTagline,flavorDescription,featuredOnPage,flavorImageUrl,skuId,skuSortOrder,sizeLabel,skuImageUrl
rose-syrup,1,Rose Syrup,#FCE4EC,Floral classic for faloodas and milkshakes,,true,,rose-syrup-300-ml,1,300 ml,
rose-syrup,1,Rose Syrup,#FCE4EC,Floral classic for faloodas and milkshakes,,true,,rose-syrup-750-ml,2,750 ml,
rose-syrup,1,Rose Syrup,#FCE4EC,Floral classic for faloodas and milkshakes,,true,,rose-syrup-5-ltr,3,5 Ltr,
blue-curacao,2,Blue Curacao,#B3E5FC,Electric blue for cocktail and mocktail bars,,true,,blue-curacao-300-ml,1,300 ml,
blue-curacao,2,Blue Curacao,#B3E5FC,Electric blue for cocktail and mocktail bars,,true,,blue-curacao-750-ml,2,750 ml,
blue-curacao,2,Blue Curacao,#B3E5FC,Electric blue for cocktail and mocktail bars,,true,,blue-curacao-5-ltr,3,5 Ltr,
lime-mint-mojito,3,Lime Mint Mojito,#DCEDC8,Fresh zesty lift for summer beverage menus,,false,,lime-mint-mojito-300-ml,1,300 ml,
lime-mint-mojito,3,Lime Mint Mojito,#DCEDC8,Fresh zesty lift for summer beverage menus,,false,,lime-mint-mojito-750-ml,2,750 ml,
lime-mint-mojito,3,Lime Mint Mojito,#DCEDC8,Fresh zesty lift for summer beverage menus,,false,,lime-mint-mojito-5-ltr,3,5 Ltr,
kaccha-aam,4,Kaccha Aam,#C8E6C9,Raw mango tang for regional cooler programmes,,false,,kaccha-aam-300-ml,1,300 ml,
kaccha-aam,4,Kaccha Aam,#C8E6C9,Raw mango tang for regional cooler programmes,,false,,kaccha-aam-750-ml,2,750 ml,
khus,5,Khus,#A5D6A7,Earthy vetiver refresh for traditional drinks,,false,,khus-750-ml,1,750 ml,
kesar,6,Kesar,#FFF9C4,Saffron warmth for festive beverage lines,,false,,kesar-750-ml,1,750 ml,
jeera-masala,7,Jeera Masala,#FFF3E0,Spiced fizz for Indian soda programmes,,false,,jeera-masala-750-ml,1,750 ml,
pina-colada,8,Pina Colada,#FFF8E1,Coconut-pineapple escape in every pour,,false,,pina-colada-750-ml,1,750 ml,
caramel,9,Caramel,#E6C9A8,Golden sweetness for coffee and dessert drinks,,false,,caramel-750-ml,1,750 ml,
vanilla,10,Vanilla,#F5F5F0,Timeless base note for shakes and frappés,,false,,vanilla-750-ml,1,750 ml,
watermelon,11,Watermelon,#FFCDD2,Juicy summer pink for seasonal coolers,,false,,watermelon-750-ml,1,750 ml,
