flavorId,flavorSortOrder,flavorName,flavorBackgroundColor,flavorTagline,flavorDescription,featuredOnPage,flavorImageUrl,skuId,skuSortOrder,sizeLabel,skuImageUrl
white,1,White,#F5F5F0,The blank canvas every design starts from,,true,,white-200-gm,1,200 gm,
white,1,White,#F5F5F0,The blank canvas every design starts from,,true,,white-1-kg,2,1 Kg,
yellow,2,Yellow,#FFF3C4,Sunlit tone for cheerful celebration cakes,,false,,yellow-200-gm,1,200 gm,
yellow,2,Yellow,#FFF3C4,Sunlit tone for cheerful celebration cakes,,false,,yellow-1-kg,2,1 Kg,
red,3,Red,#F8D7DA,Bold crimson for classic celebration lines,,true,,red-200-gm,1,200 gm,
red,3,Red,#F8D7DA,Bold crimson for classic celebration lines,,true,,red-1-kg,2,1 Kg,
pink,4,Pink,#FCE4EC,Soft blush for birthdays and boutique tiers,,false,,pink-200-gm,1,200 gm,
pink,4,Pink,#FCE4EC,Soft blush for birthdays and boutique tiers,,false,,pink-1-kg,2,1 Kg,
green,5,Green,#DCEDC8,Garden-fresh green for themed finishes,,false,,green-200-gm,1,200 gm,
green,5,Green,#DCEDC8,Garden-fresh green for themed finishes,,false,,green-1-kg,2,1 Kg,
blue,6,Blue,#D6E4F0,Cool sky tone for modern celebration work,,false,,blue-200-gm,1,200 gm,
blue,6,Blue,#D6E4F0,Cool sky tone for modern celebration work,,false,,blue-1-kg,2,1 Kg,
brown,7,Brown,#D7CCC8,Earthy warmth for rustic and chocolate themes,,false,,brown-200-gm,1,200 gm,
brown,7,Brown,#D7CCC8,Earthy warmth for rustic and chocolate themes,,false,,brown-1-kg,2,1 Kg,
black,8,Black,#E0E0E0,Deep contrast for dramatic statement pieces,,false,,black-200-gm,1,200 gm,
black,8,Black,#E0E0E0,Deep contrast for dramatic statement pieces,,false,,black-1-kg,2,1 Kg,
